ID,Aggregate number,Module title,Member genes
M14.28,A35,Neutrophils,"AGTRAP, AGTRAP, BST1, C16ORF7, C20ORF3, DRAM, FCER1G, FLJ22662, FLOT1, ITGAM, KIF1B, LILRA3, LILRA3, METTL9, MMP25, NQO2, OSCAR, PGD, SERPINA1, SERPINA1, SLC2A3, SMARCD3, TSPO"
M14.29,A32,TBD,"CDC5L, CEPT1, DNAJB1, GNPAT, GORASP1, HNRPH3, INTS8, LRRC37B, MANBAL, MON2, PRMT2, PTK2, RIPK2, RNF31, SAFB2, SEPT7, SRBD1, SYTL1, TRAK1, UPF2, USP8, ZFYVE26"
M14.30,A24,Oxidative phosphorylation,"C11ORF48, COX6C, DDT, HIGD2A, HSPC152, LOC283951, LSMD1, MRPL20, MRPL53, NDUFA11, PDE6D, RPS19BP1, RPS21, SIP1, SSR2, SSR4, TMEM93, UQCRH, UQCRQ, VPS25, ZNRD1, ZNRD1"
M14.31,A3,Cell cycle,"AARSD1, ACYP1, ANAPC4, AP3M2, CDK10, ECHDC2, EML4, ITPR3, LIG1, LOC728734, LUC7L, METT11D1, MLLT6, MTMR10, NAT9, NSUN5B, PAN2, PFAAP5, RAB3IP, RABL2B, SLC7A6, ZDHHC8"
M14.32,A26,TBD,"C11ORF59, C14ORF129, CCDC72, CD48, CGRRF1, CHCHD1, COX7A2, CRADD, CRIPT, FAM96A, FKBP1A, GSTO1, HIGD1A, LOC645058, LSM1, NDUFA4, NDUFB6, RHEB, STARD3NL, TAF10, TMEM60, VPS29"
M14.33,A30,Proteolysis,"ARID4B, BCLAF1, BIRC3, C20ORF94, C6ORF204, CAST, CCBL2, CREBBP, FLJ25778, FLJ32255, LOC162073, LOC654069, NBPF14, NBPF20, PTPRC, RNF19A, SPATA13, UHMK1, WHDC1, YTHDC1, ZFP91, ZNF699"
M14.34,A2,Gene transcription,"C10ORF88, C1ORF149, C2ORF43, ERMP1, FASTKD1, FBXL12, HSCB, LAS1L, LOC90826, MPHOSPH6, MTX2, PARP2, POLD1, PPAT, PXMP2, RPP38, RTN4IP1, SACS, SLC33A1, TSFM, ZBTB3"
M14.35,A2,TBD,"AGA, ARHGAP17, ATP6V0A2, ATPIF1, C20ORF100, DAZAP1, EEF2K, ENO2, LSS, LUZP1, PPP1R14A, PPP1R8, REXO4, RIOK2, RNUXA, SELS, SIRT5, SPIN4, SQLE, UCRC"
M14.36,A32,TBD,"ARID4A, CDH23, CHD7, CNOT8, DIAPH2, DPP8, DPY19L1, FAM156A, GATS, HELZ, KIAA1468, LOC221442, LOC653103, PRKAA1, SETDB1, SFRS2IP, SUOX, TNPO1, U2AF1, UBR5"
M14.37,A6,TBD,"ANKZF1, ATP2B1, BCOR, C20ORF121, CRIPAK, DCP1A, DENND4C, DKFZP434B0335, GFOD1, GON4L, HMGCS1, KLHL28, MUT, N4BP2L1, NFE2L1, NUP93, POFUT2, POFUT2, SFRS14, TGDS"
M14.38,A31,TBD,"AHCTF1, C3ORF34, DPEP3, EXTL3, F2RL1, F2RL1, GPR177, GPR177, HAL, HIST1H2BC, HS.144312, HSPA6, NDEL1, PANX2, REPS2, SLC45A4, SLC45A4, SPAG9, TNFAIP2, ZDHHC18"
M14.39,A34,Cell cycle,"ARHGAP21, C1ORF198, CDKN1A, CTSA, FAH, FLJ40142, FLJ40142, GP6, HIST1H2BG, HIST1H3F, HIST1H3H, LAPTM4B, NGFRAP1, NGFRAP1, PDLIM1, PRUNE, TAX1BP3, TMEM16F, TMEM185A, WBP5"
M14.40,A6,Cellular respiration,"ANXA2P1, BAT1, CNOT1, CS, DGUOK, DPM1, DPY30, DRAP1, EFHA1, HIGD1A, LIPA, NDUFV2, PDE4B, PPCS, PTGES3, SMARCA2, VHL, WRNIP1, YTHDC1"
M14.41,A24,TBD,"BRD2, C15ORF15, C20ORF30, CSTB, DBI, DECR1, ELF1, GSTK1, LOC374395, MAP4K2, MAPKAPK3, NDUFB5, RAB8A, SEC61G, SLC25A3, SYF2, TPI1, TRMT5, UBE2I"
M14.42,A1,T cells,"ABLIM1, CCR7, CD7, CDC25B, CLSTN1, FAM62A, FBL, GRAP, ITGB7, LEF1, LIME1, MAP4K1, MXD4, PTPRCAP, RFTN1, RPS23, RUNX3, SLAMF6, VEGFB"
M14.43,A3,TBD,"CD84, DDX27, DFFA, GMEB1, IKZF1, KIAA0748, LOC642333, PAPD5, PCYOX1, PCYOX1, PDPR, SEPT6, SFRS15, SLC25A36, SLFN5, SLTM, TTC17, ZNF234, ZNF275"
M14.44,A2,Protein synthesis,"C14ORF142, COMMD2, CYP20A1, DCUN1D5, DDX52, GRPEL1, HMGB1, KPNA3, LARP4, MUTED, ORC2L, PPIL5, SMARCA5, STX2, TRMT12, XRCC6BP1, ZMYM4, ZNF75"
M14.45,A2,TBD,"ACADM, ARID5B, ATP1A1, C20ORF55, CYBASC3, DUSP11, DUSP12, FRG1, HSPH1, KIAA0746, LOC642236, LOC653438, MRPL18, SEPW1, SRP68, TXNDC14, UBE2V2, ZNF581"
M14.46,A3,TBD,"ADSS, AP3M1, ATAD1, BCL7B, CDKN2AIP, CNOT6L, CRBN, DHX15, DYM, HMGN1, HPS5, KCTD18, KHDRBS1, LOC729148, MGAT4A, SLC30A5, TRAK1, ZNF330"
M14.47,A2,Protein synthesis,"ASMTL, BOLA2, C17ORF90, DNAJC8, FBXW4, FLJ21438, KIAA0409, LOC113386, MEPCE, NIT2, PARN, PRICKLE4, QARS, RNF126, RPS9, UNC84B, ZNF317, ZP3"
M14.48,A31,Inflammation,"AMICA1, ARHGAP9, ATP6V1B2, CTSS, DEF8, DPEP2, FCGRT, ICAM3, IDS, MAP1LC3A, MAST3, MYADM, NUP214, PILRA, PILRA, PLEKHG3, RAB11FIP1, STK40"
M14.49,A1,Gene transcription,"APRT, CCT7, CD79B, CUTA, GIMAP1, HNRPA1L-2, HNRPA1P4, LOC136143, LOC388275, LOC641849, LOC643997, LOC645018, LOC653820, LOC728643, RPLP0, SDF2L1, SLC41A3, SNRPN"
M14.50,A33,Inflammation,"CD46, F11R, FCGR3B, FTHL12, FTHL2, HIF1A, IDS, LOC347376, LOC440926, LOC653604, LRRK2, MEFV, PHF20L1, RAB33B, SNAP23, SNX10, TLR1, ZFP36L1"
M14.51,A36,Oxidative stress,"ATP5EP2, BTF3, BTF3, EIF3B, FAM152B, GPX4, GPX4, HS.374257, MED16, MYL6, MYL6, PRDX5, SH3BGRL3, ST3GAL1, TM7SF2, UNC45A, UNC45A, VPS28"
M14.52,A3,TBD,"CAPN12, DNM1L, DNM1L, DYRK2, FAM107B, FLJ45909, LOC650737, PCSK5, PHACTR2, RABGAP1, RECQL, RPAP2, RSPRY1, SRFBP1, TM7SF3, UPF3A, USP14, ZNF562"
M14.53,A37,Erythrocytes,"MARCH8, BCL2L1, BSG, CDC34, CHPT1, CHPT1, FHL2, GLRX5, IGF2BP2, KLF1, LOC650832, LOC653778, LOC654103, MAP2K3, RBM38, RBM38, RIOK3, TMEM63B"
M14.54,A6,Cell cycle,"ATP11C, C9ORF82, CCDC55, HCFC2, HS.415576, KIAA0564, LZTFL1, MPHOSPH9, NEK1, NME7, PPM2C, PUS7, SAV1, SCYL3, TMEM135, UBE1DC1, ZNF197, ZNF227"
M14.55,A6,Gene transcription,"C19ORF43, C20ORF72, CALML4, CBX6, DEF6, DNAJB11, EDF1, HPS6, INSIG1, MCRS1, MED22, MTIF3, NDUFB7, SIN3A, TMEM175, TMEM205, UBA7"
M14.56,A32,TBD,"APBB3, BTK, C12ORF35, C1ORF63, DTX2, FAM65A, INPPL1, ITGA5, PARP8, PDXK, PIAS1, RAD21, RBM33, RNF44, SKIV2L, SLC24A6, TNFRSF10B"
M14.57,A24,Protein modification,"ALG13, ARMCX6, EBPL, ENSA, ENSA, ERP29, EXOSC3, FBXO8, G3BP2, LAIR2, LOC646567, MORF4L2, PRNP, RNASE6, RPL9, SLBP, WTAP"
M14.58,A1,Protein synthesis,"LOC220433, LOC641848, LOC643007, LOC643949, LOC645138, LOC648343, LOC649946, LOC651202, LOC651894, LOC653658, LOC653702, LOC653773, RPL14, RPL7, RPL7A, RPL9, RPLP1"
M14.59,A34,TBD,"ACSBG1, CXORF20, HOMER2, ITGB5, LOC653486, MGLL, MGLL, MMRN1, MYLK, NT5M, PLOD2, SAMD14, SEC14L5, SELP, SPARC, SYTL4, TFPI"
M14.60,A29,TBD,"ATG10, CATSPER2, CHRNA5, DUSP19, FKBP14, GDPD1, GNB4, HS.544637, HS.560357, HSD17B7, KIAA0408, LOC648059, MBOAT2, MFSD11, SEMA3E, SPN, TRIM13"
M14.61,A2,Protein modification,"ADRM1, AXIN1, CIAO1, CMPK1, GIMAP8, HSPD1, NCOR2, PPCS, PQLC3, RAPGEF6, SACM1L, SUMO2, SUMO3, URM1, VDAC1, WDR68"
M14.62,A32,TBD,"ALCAM, ARFGEF1, ATP11B, C3ORF58, CAST, CD44, CHES1, EPS15, FBXO30, HS.137971, NFXL1, OSBPL8, PCMTD1, RPGR, SMNDC1, SYNJ1"
M14.63,A24,Oxidative phosphorylation,"ATP5H, ATP5J, ATP5J2, C9ORF46, CHCHD2, COX6A1, LOC646630, LSM3, MRPL33, NDUFA1, NDUFA13, NFU1, NUDT2, PSMD10, SNRPG, THEM2"
M14.64,A1,Cell cycle,"ADA, BZW2, CXXC5, DDX24, GPBAR1, IL32, LRIG1, MPHOSPH10, MRPL24, PEBP1, PECI, TBC1D9, TLR7, TMEM109, VARS, ZBTB4"
M14.65,A35,Monocytes,"ATP6V0B, C20ORF24, C20ORF24, CD14, CLIC1, CYBA, EFHD2, EVI2B, FTHL7, GNS, IFNGR2, ITGB2, RAB7A, S100A4, SMAP2, TSPO"
M14.66,A33,Inflammation,"BID, BTBD10, C12ORF35, C14ORF138, CENTB2, DDX3X, FBXO11, HIAT1, MAP4K4, NEDD9, NSMAF, PRKAR1A, RAB21, SNX13, TOR1AIP1, UBE2W"
M14.67,A32,Gene transcription,"AFTPH, C18ORF32, EAF1, FLI1, GPBP1, GPBP1L1, HERPUD2, HHEX, MAP3K7IP2, PMAIP1, SAP30L, SAR1A, SLBP, SP3, TANK, TTRAP"
M14.68,A38,Protein synthesis,"ARF1, ARL6IP1, ATP6V1D, BIRC2, C3ORF60, CETN2, COPS3, DYNLL1, EPN1, FDFT1, GHITM, HSPB1, MAP1LC3B, TAX1BP1, TPRG1L, YIPF3"
M14.69,A1,Gene transcription,"ACAD11, ARL16, BAG3, C16ORF13, CD83, KIAA1128, MRPL40, PDCD4, PDS5A, PHB, POMGNT1, PPRC1, PRPF19, RNF219, SERGEF"
M14.70,A26,TBD,"ATOX1, C9ORF90, CTSC, DUS2L, GCC1, KDELR2, KIAA1160, MTMR14, NUDT3, PRELID1, SCNM1, STYXL1, TAF12, TIPARP, TMEM167"
M14.71,A1,Gene transcription,"BCAS4, FLJ35801, HOXB2, HSD17B8, LBH, LIPT1, LIPT1, LOC202134, MGC15763, MGC3020, PERLD1, SMYD3, TC2N, TMEM14A, WDR74"
M14.72,A2,TBD,"AARS, AIP, AKR1A1, C12ORF41, GNL2, IDH3B, MED30, METTL7A, NAT5, NDUFS4, SBF1, SYPL1, TMEM126B, UFC1, ZGPAT"
M14.73,A32,TBD,"ABHD8, ATP2A3, ATP6AP1, C16ORF48, DCUN1D3, LOC90835, LRCH4, PIAS4, RNPEP, SCYL1, SIPA1, TMUB2, TRABD, UNC119, VPS16"
M14.74,A35,TBD,"BAZ1A, CCPG1, CD53, CD53, CD58, CKLF, DDEF1, FAM45A, GLRX, MARCKS, MOSPD2, RHOT1, RNASEL, TLE4, YIPF4"
M14.75,A1,Protein synthesis,"C6ORF48, COMMD6, DPH5, EIF3E, EIF3H, GLTSCR2, HINT1, LOC285176, LOC387867, LOC400963, LOC644039, LOC728973, RPL15, TINP1, UXT"
M14.76,A33,Leukocyte activation,"ATXN1, CD93, EIF2C4, FAM8A1, HSPA6, MAP2K4, MOSPD2, PECAM1, PPP4R1, RAB11FIP1, SKAP2, SLC12A6, SPOPL, TNFSF14, UHRF1BP1L"
M14.77,A1,Gene transcription,"CCDC86, ELOVL4, FBXO4, HSZFP36, INPP4B, LCMT2, MBIP, NFATC3, PDCD2L, RRP1B, RRS1, SLC25A15, TPD52, TRIM32, ZSCAN2"
M14.78,A3,TBD,"ATP6V1E2, BAG5, BIVM, CBY1, DHX38, FAM130A1, KIAA1279, METTL4, MGC16169, PANK4, POLR3B, RDX, USP6NL, ZBED4, ZNF295"
M14.79,A2,Protein synthesis,"BOLA2, C6ORF115, CCNH, CD164, GIMAP7, GPKOW, IFP38, LSM5, MAFF, NAT13, NXT2, PTMA, RNASEH2B, TXNDC9, TXNL1"
M14.80,A1,Protein synthesis,"FAU, HLA-DRA, LOC388532, LOC388621, LOC391656, LOC731640, PFDN5, PFDN5, RPL27A, RPL31, RPS15A, RPS3A, RPS3A, RPS3A, RPS6"
M14.81,A31,Platelet,"CCDC90A, CD9, DAB2, DKFZP686I15217, DKFZP686I15217, ENDOD1, FRMD3, IL8RBP, LOC645128, LOC653635, MEIS1, MGC13005, TPM1, TSC22D1, TUBA3D"
M14.82,A33,Cytokines/chemokines,"ARHGAP11A, ATXN1, CCDC89, HOXB1, IL15, LOC641992, LPIN2, LY6H, MED13L, MED8, MTHFD2, NANS, PSORS1C1, RGMA, SPATA2L"
M14.83,A25,TBD,"APOBEC3F, CCNC, CCNC, FAF1, HAT1, LOC652826, MDFIC, MGAT2, MRPL45, PLEKHF2, RBM4, SRP9, TAF9, TCP1, THAP1"
M15.1,A6,TBD,"ABCB7, ACADM, ADFP, ADHFE1, APIP, BARD1, BAZ1B, BRWD2, C21ORF33, C9ORF103, CCDC44, CGI-96, CKS2, CNNM3, CTLA4, DCTN6, DGUOK, DIP2A, DNAJC15, DSTN, EBP, FYN, GNB5, HS.279842, HS.536451, IKBKE, ILKAP, LEO1, LMBR1, LOC197135, LOC388692, LOC642197, LOC653080, LOC654191, MAN2C1, MED19, MLH1, MRPL13, MRPL42, MRPL43, MRPL52, MRPL52, N4BP2L1, NAPB, NFATC1, NNT, OAF, PAFAH2, PHF19, POLR3K, PSMA3, PSMB5, PTBP2, PTCD1, PTS, RAP1GDS1, RECQL, RFC5, SDCCAG1, SDHA, SEC31A, SERPINE2, SETDB2, SLC11A2, SLC30A5, SNUPN, SRI, SRI, SS18, SS18L1, STK36, TBC1D7, TEX2, TOMM34, TOP3B, TSPAN14, TSPAN18, U2AF1L4, WDR70, ZBTB17, ZNF589"
M15.2,A6,TBD,"AATF, ADARB1, ANKRD10, ARPP-19, CALR, CCT3, CD99, DCAKD, DCTN1, DHX29, EIF3A, FAM20B, FUCA1, GUSBL1, HCFC1R1, HERC1, HS.568928, HS.570988, HSPA9, ITPKB, KCTD20, KIAA0152, KIAA0182, LOC653566, LOC653566, LOC729317, M6PR, MBTPS1, MMS19L, MRPL17, MRPL23, NCOR2, NDRG3, NME1, NUP85, P15RS, PABPN1, PCSK7, PRDX4, PRPF31, PTDSS1, RAP2A, RNF20, RSU1, SAPS3, SAT2, SDCCAG3, SDF4, SEC31A, SECISBP2, SLC39A3, SND1, TARS, TFG, TMED2, TMED4, TMED7, TMEM101, TRIM44, UCKL1, VRK3"
M15.3,A2,Gene transcription,"ACSS1, ADAM7, ANG, ANKMY2, ANKRD55, C10ORF33, C11ORF73, C3ORF21, C9ORF105, CACNA2D3, CCL3L3, CHORDC1, CMAH, CXCR3, DHRS4, EAF2, ENPP4, FAM102B, FAM108A3, FAM119B, FLJ11795, FLJ43093, GLRX2, GRHPR, GZMM, HDHD1A, HGD, HS.31532, HS.552082, HS.568741, KIAA1147, LOC389672, LOC647037, LOC728635, LOC731950, LYSMD4, MGC57346, MS4A14, MYB, NCR3, NELF, NFKBIE, NUDT18, OSGEP, PECI, PSMD10, RDH14, SLC25A4, STT3B, TADA1L, TFPT, YEATS4, ZBTB16, ZNF142, ZNF274, ZNF593, ZNF615"
M15.4,A1,B cells,"ABLIM1, BACH2, BEX4, BTLA, BTLA, C12ORF29, C4ORF30, C9ORF123, C9ORF45, CCDC66, CCDC91, CCNB1IP1, CCT6A, CCT6A, CD47, CD79A, CDK9, CETN3, CSTF2, DDX47, EED, FAM44B, FBXW8, GLMN, GNL3, GTPBP8, HIBADH, HS.354359, HS.436134, IER3IP1, LOC388344, LOC389641, LOC400304, LOC400986, LOC648099, MAD1L1, MRPL48, NAE1, NAPSB, PDPR, PEX6, PON2, PSMG1, RAN, RBM12, RRAS2, SLC35A3, SNORD14A, SRPK2, TAF6L, TCEA2, THOC1, TSPAN32, USP36, ZNF7, ZNF791"
M15.5,A5,Protein modification,"SEP15, ADD3, AKTIP, ANKRD17, ANXA1, ANXA7, C2ORF33, CDC42SE2, CDV3, CITED2, CLPX, CNBP, COPB1, CSNK2A1, CTR9, CUL4A, CUTC, DDX17, ETF1, FDFT1, FNDC3A, GALNT10, GNG2, ING2, LOC151579, LOC653377, MAT2B, MORF4L1, NCOA3, NPTN, PDS5B, PNPLA8, PRPF18, PSMD6, RBM7, RHOA, RPL36AL, SH3BGRL, SLC36A4, SMEK2, SPATA5L1, SRP14P1, SUMO1P3, TAF7, TIAL1, TIAL1, TLK1, TMEM66, UBR5, UGP2, VBP1, XPR1, ZNF613, ZNF700"
M15.6,A7,Cell cycle,"ABCB10, ANAPC1, APOBEC3C, APPL1, ARMCX6, BCLAF1, BIRC6, BRE, BRWD1, C10ORF76, C3ORF54, C4ORF33, CDK2, CKS1B, CORO2A, CRKRS, DENND4A, DULLARD, EXOSC9, F8A1, FUT4, GDPD5, GGA3, GTF2IRD2B, ING2, KCTD10, KIAA1715, KIF21B, LOC731049, MAN2B1, MAP4K5, MARCH3, ORMDL3, PAG1, PFKL, PIP5K1C, PPOX, PPP2R4, RAD23B, RAG1AP1, RFX1, RPL26L1, SC4MOL, SLC31A1, SLC7A1, SREBF1, SSBP3, SUV420H1, TBC1D9B, TFIP11, TIMM23, TLR10, TPK1, USP7"
M15.7,A26,Monocytes,"ADCY7, ADFP, AHSA2, ARHGAP30, BAT2, BLVRA, C11ORF75, C19ORF6, C1ORF85, CALML4, CAST, CD163, CDC42SE1, CLEC2B, CMTM3, CTNS, CYSLTR1, DBI, FAM111A, FAM14A, FCHSD2, ITGB1, KRCC1, LDLR, LOC124446, LOC653496, MICB, NCKAP1L, PAF1, PSCD1, RAB37, RAB3IP, RHOB, SAR1B, SF4, SGSH, SIL1, SLC22A18, SLC25A20, SMG5, SULT1A1, SULT1A2, TAGAP, TICAM1, TMEM79, TNF, TTC1, TTLL3, UBE2L3, UQCRB, USF1, YIF1B"
M15.8,A2,Gene transcription,"ACYP2, ANKRD54, ANXA6, BIVM, BRDG1, C12ORF23, C12ORF43, C5ORF25, C6ORF66, CCL23, CHMP7, CLUAP1, CRY1, CYP2R1, DCUN1D4, DUSP14, EIF5A2, EXDL2, FAM108A3, GNGT2, HRAS, HS.513000, HS.571502, HS.66187, IFT74, IPO13, LGMN, LMTK3, LRIG2, LRRC8C, LSG1, MAGEH1, MAK10, MRPS18B, MTERF, NDFIP2, NTHL1, NUDCD2, NUP188, PARP16, PGAM5, PPAN, RDH13, RFXAP, RRP15, RUVBL1, SHFM1, SNHG3-RCC1, SUPV3L1, THUMPD2, ZNF805"
M15.9,A6,T cells,"AK2, AKR1C3, ANXA2P1, APOBEC3G, ARMC10, ATF4, ATP5L, C17ORF44, C1ORF55, C9ORF95, CCDC15, CD86, COMMD10, COMMD8, CORO1B, CSNK1A1, DRG1, FAM26F, HERPUD2, IRF2BP2, JMJD1A, KIF2A, LARP7, LOC387882, LOC643870, LOC646064, LOC648695, LOC650919, LYRM5, NAP1L1, NDUFC1, P2RY5, PIPSL, PRKAG2, PTGER2, PXMP3, RDH11, RPAP3, SCNM1, SIAH1, SOCS2, SSBP2, STRN3, TCEA1, TMEM157, TOB1, UBE2G1, UBL4A, YWHAB, ZNF770, ZSCAN16"
M15.10,A6,Gene transcription,"ALKBH5, ARHGAP25, ARHGEF6, ATP6V1G1, BCKDK, CAPN1, CENTA1, CFD, CGGBP1, CLCN7, DDB1, FXYD5, HDAC1, LFNG, LGALS1, LOC400948, LOC651064, LTB, LYSMD2, MAP3K1, MATR3, MBNL1, MGC71993, PCNP, PDCD10, PDCD4, PIK4CA, PIM2, PPP1CC, PRDX1, PRDX5, PSMB8, RASGRP2, RBL2, RDH11, SEC14L1, SFRS5, SGK, SNRP70, SPOP, SQSTM1, STX16, SUZ12, TBC1D10C, THOC7, TMEM123, TUBA4A, UBL5, VAMP8, XBP1"
M15.11,A6,TBD,"ABHD10, ALKBH1, ALKBH1, ANKRD28, ANXA2, ASMTL, ATG5, BMPR2, C11ORF57, C11ORF67, C1ORF166, C1ORF31, C7ORF49, CALU, CSPP1, DAAM1, DTD1, DTNBP1, GBF1, GBL, GDAP2, HS.567759, HS.60257, KCTD9, LSM8, MBD1, MIZF, PARP11, PBRM1, PDS5B, PGM2L1, PNPLA8, POLR2D, PRPF38B, PSME1, RPL28, RSRC2, SEMA4F, SFXN4, SLC37A1, SLC38A9, SNX1, SUGT1, SYNE2, TCF20, TTC33, TTC5, UCRC, USP48, WDR7"
M15.12,A33,TBD,"ADORA2A, AGPAT1, ARF1, ARMC7, ATP2A3, ATP6V1H, AZI2, B4GALT1, BIRC2, C17ORF91, CAMK1D, CASZ1, CDC42EP4, CENTD1, CIC, COPG, DCTN4, EFCAB4A, GATAD2B, GRINL1A, HIF1A, HIP2, HS.483906, HS.550193, ILK, KCTD13, KLHL21, KPNA1, MGAT4B, NAB1, NLRP3, OTUD1, PHF20L1, PRMT5, PRMT5, RAB37, RELB, RILP, SERTAD1, SLC44A1, SPAST, STRN, TMEM184B, TOP1P2, TP53INP2, TTYH3, WTAP, ZNF692, ZRANB1"
M15.13,A33,TBD,"ATP6V0B, BRSK1, C15ORF39, C3ORF17, CARS2, CASC3, CLDN14, CTSC, CYB5R1, DHX40, ERGIC2, GABARAP, GMPR2, GPR137, HEBP1, IHPK1, ITPK1, KIAA1539, LOC255783, LOC644739, LRSAM1, MAX, METRNL, MNT, MTHFS, NCOA1, NEDD9, NOTCH2, PAK1, PAPSS1, PHKA2, PLCB2, PPFIA1, PRKCB1, REC8, RN7SK, SEC14L1, SEC22B, SLC39A1, SRXN1, ST3GAL6, STAT3, STAT3, SULF2, TMBIM1, TMEM97, TNFAIP3, VCP, ZC3H3"
M15.14,A33,TBD,"ABCG1, ACN9, ADD1, ARHGAP27, ARSA, ARSB, C5, C7ORF53, C9ORF66, CCNG2, CDKN2C, COTL1, CYB5A, DACH1, FAM10A7, FLJ20021, FLJ42957, GBGT1, GFOD2, GK2, GRIPAP1, HS.122456, HS.282800, HS.308073, HS.490981, HS.564874, IER2, LEPR, LRP3, MANBAL, MXD3, NHSL2, OSGIN2, PCTP, PRKCZ, RFP, RILPL1, RNF141, RUNX2, SBF2, SIGLEC9, ST3GAL2, TLE4, TMEM127, TMEM165, TTC32, ZMYND15"
M15.15,A6,TBD,"ARRDC2, ASCC1, ASCL2, BRPF3, C17ORF68, C19ORF10, C22ORF28, C2ORF47, C4ORF41, CAST, CCS, DDX55, DGKQ, DOK2, FKBP3, FLAD1, GCN1L1, IDH2, IKBKB, INPP1, INTS1, IRF3, LASS5, LHPP, LOC440348, LOC440354, LRRC33, MS4A7, NMRAL1, NUDT16L1, PHF17, PIGF, PPP1R7, RHOC, RPN2, SFRS11, SGK3, SUPT5H, TAGAP, TRAPPC6B, TRIM68, TSR2, UCRC, ZMIZ2, ZNF671, ZSWIM1"
M15.16,A3,Antigen presentation,"ALKBH2, ARHGEF19, ARMCX2, BCKDHB, BCL9L, C1ORF107, CACNA1I, CCDC120, CD83, CLYBL, CNTNAP2, CYCS, DUS1L, EIF2AK3, EPHA1, EPHA4, FAM134B, FBLN5, FCRL3, FLJ39827, HIP1R, HS.446266, HS.513971, HS.556255, HS.567469, HS.567472, IFT57, IL23A, LOC116236, LYRM4, MEN1, MTMR15, PDE9A, PIGP, POLR1E, PPP1R13B, PUS1, TMEM18, TRAF5, TUBGCP5, ZMYM3, ZNF232, ZNF30, ZNF545, ZNF823"
M15.17,A22,TBD,"ABCD4, ACPT, ARPC2, BRI3BP, C21ORF128, C9ORF62, CAMK1G, CHX10, CRISP2, DEFB123, FGFBP3, FMO2, FZD1, GREB1, HMP19, HOXA6, HOXC6, HS.141883, HS.246334, HS.446301, HS.529324, HS.537603, HS.570460, HS.581580, HS.583642, IGFL3, IGSF11, INDOL1, KCND3, LOC441136, LOC642691, LOC644922, LOC650683, LOC653464, MGC57359, PLK1, RBMX2, RBPJL, RNF39, S100A1, TNFRSF9, TTC7B, VN1R2, ZSWIM4"
M15.18,A32,TBD,"AHCYL1, AKNA, ANXA5, ARCN1, ARF5, ARHGAP1, ARHGAP30, ARHGAP4, ARHGEF2, CDKN1B, CDKN1B, CWF19L1, DAD1, DBNL, DCTN3, ENO1, FOXJ2, HNRPUL1, ILK, KLF13, LMBRD1, LMO4, LSM14A, MRFAP1, PPM1B, PPP1R11, PSMD4, PSMD4, PUM2, RAC1, RASSF5, RBM5, RPN1, SEC24C, SF3B14, SIAH1, SNRK, SPG11, TGFBR2, TINF2, TMEM32, TRAPPC1, WAC"
M15.19,A6,Gene transcription,"ACACB, AQR, ARFGAP1, C7ORF54, COIL, CPSF2, CPT2, CRYZL1, CSNK1G1, DDX19A, DKFZP586I1420, EDEM1, FAM153B, FAM39DP, GABBR1, GLTSCR1, GRAMD4, HS.445414, HSPA5, INSIG2, IPO8, IWS1, LOC648638, LOC652685, LYCAT, MAPK9, MGC52000, NPHP3, OFD1, OSBPL5, PHKB, PRRC1, RAB11FIP2, SLC25A23, SNX26, SNX30, SPATA20, SURF6, TPMT, UBA6, WDR22, ZNF18, ZNF25"
M15.20,A32,TBD,"ADAM15, ATP6V0A1, BID, BST2, C7ORF27, CAPNS1, CCNL1, CD300LF, CEP63, CHST7, CLK1, CNOT8, CNPY3, CUGBP2, FAM103A1, GALK1, GLA, GNA13, LCOR, LOC643319, LOC653506, LPCAT1, MED16, MED16, MGST2, MOBKL2C, NAPRT1, NPEPL1, PATL1, PBX2, PGK1, PSMB8, RTN4, SAFB, SF3B14, SLC27A3, SPINT2, TAP2, TIA1, TPM3, TRPC4AP, WARS"
M15.21,A2,Gene transcription,"AAMP, ATRIP, CCDC99, CDAN1, DAG1, DEPDC5, DET1, DUT, FAM35A, FAM50B, GATAD1, HSPC111, ICK, KIAA0090, LARP2, LDOC1L, LOC143543, LOC339804, MTAP, NARG1, NFE2L3, NFX1, NOL14, OPRS1, PET112L, PKD2, PPAPDC2, PREPL, SLC25A12, SLC35F2, TBC1D9B, TIGD5, TMEM118, TWISTNB, UPF3B, WDR12, WDR77, WRN, ZMYND19, ZNF175, ZNF480, ZNF792"
M15.22,A6,TBD,"ABI2, ACACA, ANKRD37, ARHGAP10, C20ORF7, C7ORF11, C7ORF36, C8ORF32, C8ORF38, CCDC107, CCT4, CCT5, CDC7, DSN1, FAM135A, HAX1, HS.126889, INVS, KIAA0562, LOC653147, MRPL35, MYL5, NARS2, PAQR3, PIN4, PNO1, POLDIP2, PUS7L, RBM28, RFXDC2, SFPQ, THAP1, TMEM64, TRDMT1, USP13, YES1, ZCRB1, ZNF140, ZNF383, ZNF430, ZNF680, ZNF684"
